date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:44	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1708418972-ssl-df	https://nest-frontend-v6.netlify.app/robots.txt		(from )
16:29:44	412134/412134	---MCZ	200	added ('OK')	text/html	etag:%22310e81a253806ce52ba79e6cfffd6d0b-ssl-df%22	https://nest-frontend-v6.netlify.app/	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/index.html	(from )
16:29:46	9540/9540	---M-Z	200	added ('OK')	image/svg+xml	etag:%22e97037b13ad86afdf536ee5e4ceaf7a3-ssl-df%22	https://nest-frontend-v6.netlify.app/assets/imgs/theme/favicon.svg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/theme/favicon.svg	(from https://nest-frontend-v6.netlify.app/)
16:29:46	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%22e0e14e1faabc754741f4c84979dceee5-ssl-df%22	https://nest-frontend-v6.netlify.app/assets/css/plugins/animate.min.css	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/css/plugins/animate.min.css	(from https://nest-frontend-v6.netlify.app/)
16:29:47	206298/206298	---M-Z	200	added ('OK')	text/css	etag:%2268128e4309a6c290e2ffddc74b888778-ssl-df%22	https://nest-frontend-v6.netlify.app/assets/css/main.css?v=6.0	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/css/main5103.css	(from https://nest-frontend-v6.netlify.app/)
16:29:49	431894/431894	---M--	200	added ('OK')	image/png	etag:%22d9e8cec5176f20a953b63404ea0df80a-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/banner/popup-1.png	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/banner/popup-1.png	(from https://nest-frontend-v6.netlify.app/)
16:29:49	130894/130894	---M-Z	200	added ('OK')	text/html	etag:%22121de42ed55cdd1d6fdb0fd8183ef04b-ssl-df%22	https://nest-frontend-v6.netlify.app/shop-product-right	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/shop-product-right.html	(from https://nest-frontend-v6.netlify.app/)
16:29:50	158947/158947	---M-Z	200	added ('OK')	text/html	etag:%2277061c3ab4811f75629fa93cf4d795d4-ssl-df%22	https://nest-frontend-v6.netlify.app/shop-grid-right	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/shop-grid-right.html	(from https://nest-frontend-v6.netlify.app/)
16:29:51	74882/74882	---M--	200	added ('OK')	image/jpeg	etag:%223ce42ceff3f8608321833a3c562e23b8-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/shop/product-16-2.jpg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/shop/product-16-2.jpg	(from https://nest-frontend-v6.netlify.app/)
16:29:52	59168/59168	---M--	200	added ('OK')	image/jpeg	etag:%22e5b3542143822d520b61ab783cdf1a46-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/shop/product-16-1.jpg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/shop/product-16-1.jpg	(from https://nest-frontend-v6.netlify.app/)
16:29:53	71574/71574	---M--	200	added ('OK')	image/jpeg	etag:%22f8f2bc32cc9092ff72bbc59aa4f458c1-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/shop/product-16-3.jpg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/shop/product-16-3.jpg	(from https://nest-frontend-v6.netlify.app/)
16:29:54	87131/87131	---M--	200	added ('OK')	image/jpeg	etag:%2271aa3dc41d49a61ed33ca8415898c0e1-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/shop/product-16-4.jpg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/shop/product-16-4.jpg	(from https://nest-frontend-v6.netlify.app/)
16:29:54	59849/59849	---M--	200	added ('OK')	image/jpeg	etag:%22fd03892a01251420637817719542661d-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/shop/product-16-5.jpg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/shop/product-16-5.jpg	(from https://nest-frontend-v6.netlify.app/)
16:29:55	91691/91691	---M--	200	added ('OK')	image/jpeg	etag:%22d3f7b270de66dc879569054dcf2d08be-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/shop/product-16-6.jpg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/shop/product-16-6.jpg	(from https://nest-frontend-v6.netlify.app/)
16:29:56	100953/100953	---M--	200	added ('OK')	image/jpeg	etag:%2224690458128bf9b076eb53d869a63a20-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/shop/product-16-7.jpg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/shop/product-16-7.jpg	(from https://nest-frontend-v6.netlify.app/)
16:29:57	15751/15751	---M--	200	added ('OK')	image/jpeg	etag:%22b2a87122982f5ba46edb6abc58c0d78c-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/shop/thumbnail-3.jpg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/shop/thumbnail-3.jpg	(from https://nest-frontend-v6.netlify.app/)
16:29:58	16846/16846	---M--	200	added ('OK')	image/jpeg	etag:%22f9a5c48c221100e328ed9a8c0c04c24b-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/shop/thumbnail-4.jpg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/shop/thumbnail-4.jpg	(from https://nest-frontend-v6.netlify.app/)
16:29:59	24938/24938	---M--	200	added ('OK')	image/jpeg	etag:%22f1211540a44e9024f2ea3640c04c1c1e-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/shop/thumbnail-5.jpg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/shop/thumbnail-5.jpg	(from https://nest-frontend-v6.netlify.app/)
16:30:00	63412/63412	---M--	200	added ('OK')	image/jpeg	etag:%22c688dfcdaa73e3622c19b0d7a748c51a-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/shop/thumbnail-6.jpg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/shop/thumbnail-6.jpg	(from https://nest-frontend-v6.netlify.app/)
16:30:01	25444/25444	---M--	200	added ('OK')	image/jpeg	etag:%225094767df91266866592408a50c724df-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/shop/thumbnail-7.jpg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/shop/thumbnail-7.jpg	(from https://nest-frontend-v6.netlify.app/)
16:30:02	31455/31455	---M--	200	added ('OK')	image/jpeg	etag:%224974bee5ecd116a73d3b0b8d8a9fecb1-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/shop/thumbnail-8.jpg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/shop/thumbnail-8.jpg	(from https://nest-frontend-v6.netlify.app/)
16:30:03	24062/24062	---M--	200	added ('OK')	image/jpeg	etag:%2281a98d2f9bb80a26e5c61f911902f1e7-ssl%22	https://nest-frontend-v6.netlify.app/assets/imgs/shop/thumbnail-9.jpg	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/assets/imgs/shop/thumbnail-9.jpg	(from https://nest-frontend-v6.netlify.app/)
16:30:04	3082/3082	---M-Z	404	error ('Not%20Found')	text/html	etag:1708418972-ssl-df	https://nest-frontend-v6.netlify.app/page-about.htlm	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/page-about.14.delayed	(from https://nest-frontend-v6.netlify.app/)
16:30:04	75885/75885	---M-Z	200	added ('OK')	text/html	etag:%22c2a7a1fd6b2095a35f4a9989eb23f9d6-ssl-df%22	https://nest-frontend-v6.netlify.app/page-account	C:/Users/Jackie/Desktop/myWebsite/Agumentik/nest-frontend-v6.netlify.app/page-account.html	(from https://nest-frontend-v6.netlify.app/)
